species,genus,score,prevalence,nboccur,avgcountnz,avgcount,gcl,pngl,pndst,slbl
Puls.vern,Puls,0.902046784,0.24,18,1.111111111,0.266666667,H,85,.1,Puls
Ranu.kuep,Ranu,0.848684211,0.253333333,19,1.736842105,0.44,B,-90,.2,Ranu
Sagi.glab,Sagi,0.759803922,0.32,24,1.5,0.48,C,-40,.4,Sagi
Sali.herb,Sali,0.787990196,0.32,24,2.791666667,0.893333333,C,3,.4,Sa.h
Sali.reti,Sali,0.993150685,0.026666667,2,1.5,0.04,C,102,2.,Sa.i
Sali.retu,Sali,0.993150685,0.026666667,2,2,0.053333333,C,90,1.2,Sa.u
Sali.serp,Sali,0.952054795,0.026666667,2,1.5,0.04,C,185,.8,Sa.s
Saxi.pani,Saxi,0.939393939,0.12,9,1.222222222,0.146666667,C,90,.1,Saxi
Scab.luci,Scab,0.98630137,0.026666667,2,1,0.026666667,C,180,.8,Scab
Sedu.alpe,Sedu,0.78712406,0.253333333,19,1.210526316,0.306666667,C,240,.4,Sedu
Semp.mont,Semp,0.812169312,0.28,21,1.142857143,0.32,C,5,.2,Semp
Sene.inca,Sene,0.876923077,0.133333333,10,1,0.133333333,C,180,.6,Sene
Sesl.caer,Sesl,0.955882353,0.093333333,7,1.571428571,0.146666667,C,270,.8,Sesl
Sibb.proc,Sibb,0.805555556,0.6,45,1.311111111,0.786666667,C,22.5,.8,Sibb
Sile.acau,Sile,0.825559701,0.106666667,8,1.125,0.12,C,270,.8,Sile
Tara.alpi,Tara,0.845170455,0.146666667,11,1.181818182,0.173333333,D,180,.1,Tara
Thym.poly,Thym,0.952054795,0.026666667,2,1.5,0.04,D,260,.6,Thym
Trif.alpi,Trif,0.876811594,0.08,6,2,0.16,D,270,.8,Tr.a
Trif.badi,Trif,0.993150685,0.026666667,2,1,0.026666667,D,50,1.6,Tr.b
Trif.thal,Trif,0.921428571,0.066666667,5,1,0.066666667,D,270,0.8,Tr.t
Vero.alli,Vero,0.9375,0.04,3,1,0.04,F,247.5,.6,Ve.l
Vero.alpi,Vero,0.875529661,0.213333333,16,1.1875,0.253333333,F,125,.2,Ve.p
Vero.bell,Vero,0.723214286,0.466666667,35,1.171428571,0.546666667,F,292,.8,Ve.b
