"coded_run","cooccur","fit","fitfilt","mu","run","sim","run_name","sym"
"2","59","'-0.89","0","'-0.19","EnvEvenSp10","0","EnvEvenSp10","0"
"2","74","'-0.08","'-0.08","'-0.07","EnvEvenSp10","0","EnvEvenSp10","0"
"2","82","0.26","0.26","0.11","EnvEvenSp10","0","EnvEvenSp10","0"
"2","79","0.26","0.26","0.07","EnvEvenSp10","0","EnvEvenSp10","0"
"2","86","1.1","1.1","0.52","EnvEvenSp10","0","EnvEvenSp10","0"
"2","12","0","0","'-2.18","EnvEvenSp10","0","EnvEvenSp10","0"
"2","34","'-0.7","0","'-0.67","EnvEvenSp10","0","EnvEvenSp10","0"
"2","12","'-0.91","0","'-1.87","EnvEvenSp10","0","EnvEvenSp10","0"
"2","21","'-1.3","0","'-1.4","EnvEvenSp10","0","EnvEvenSp10","0"
"2","34","'-1.55","0","'-0.84","EnvEvenSp10","0","EnvEvenSp10","0"
"2","54","'-1.08","0","'-0.38","EnvEvenSp10","0","EnvEvenSp10","0"
"2","68","'-0.5","'-0.5","'-0.13","EnvEvenSp10","0","EnvEvenSp10","0"
"2","78","0","0","0.08","EnvEvenSp10","0","EnvEvenSp10","0"
"2","86","1.4","1.4","0.19","EnvEvenSp10","0","EnvEvenSp10","0"
"2","18","0.67","0.67","'-2.13","EnvEvenSp10","0","EnvEvenSp10","0"
"2","70","'-0.04","'-0.04","'-0.11","EnvEvenSp10","0","EnvEvenSp10","0"
"2","40","'-1.3","0","'-0.78","EnvEvenSp10","0","EnvEvenSp10","0"
"2","37","'-1.1","0","'-0.73","EnvEvenSp10","0","EnvEvenSp10","0"
"2","54","'-0.66","0","'-0.02","EnvEvenSp10","0","EnvEvenSp10","0"
"2","70","0.07","0.07","0.23","EnvEvenSp10","0","EnvEvenSp10","0"
"2","78","0.58","0.58","0.13","EnvEvenSp10","0","EnvEvenSp10","0"
"2","73","0.65","0.65","0.18","EnvEvenSp10","0","EnvEvenSp10","0"
"2","64","0.09","0.09","0.17","EnvEvenSp10","0","EnvEvenSp10","0"
"2","53","'-0.22","0","0.08","EnvEvenSp10","0","EnvEvenSp10","0"
"2","20","'-1.14","0","'-1.33","EnvEvenSp10","0","EnvEvenSp10","0"
"2","38","'-0.96","0","'-0.51","EnvEvenSp10","0","EnvEvenSp10","0"
"2","51","'-0.58","0","'-0.42","EnvEvenSp10","0","EnvEvenSp10","0"
"2","49","'-0.6","0","'-0.26","EnvEvenSp10","0","EnvEvenSp10","0"
"2","78","0.74","0.74","0.05","EnvEvenSp10","0","EnvEvenSp10","0"
"2","41","'-0.66","0","'-0.2","EnvEvenSp10","0","EnvEvenSp10","0"
"2","79","0.32","0.32","0.28","EnvEvenSp10","0","EnvEvenSp10","0"
"2","74","'-0.08","'-0.08","0.35","EnvEvenSp10","0","EnvEvenSp10","0"
"2","68","'-0.36","'-0.36","0.5","EnvEvenSp10","0","EnvEvenSp10","0"
"2","15","'-0.62","0","'-1.99","EnvEvenSp10","0","EnvEvenSp10","0"
"2","16","'-0.83","0","'-1.95","EnvEvenSp10","0","EnvEvenSp10","0"
"2","26","'-1.19","0","'-1.11","EnvEvenSp10","0","EnvEvenSp10","0"
"2","63","0.21","0.21","'-0.03","EnvEvenSp10","0","EnvEvenSp10","0"
"2","59","'-0.7","0","'-0.01","EnvEvenSp10","0","EnvEvenSp10","0"
"3","34","'-1.42","0","'-0.78","EnvEvenSp20","0","EnvEvenSp20","0"
"3","52","'-1.15","0","'-0.41","EnvEvenSp20","0","EnvEvenSp20","0"
"3","43","'-0.98","0","'-0.51","EnvEvenSp20","0","EnvEvenSp20","0"
"3","66","'-0.5","'-0.5","'-0.12","EnvEvenSp20","0","EnvEvenSp20","0"
"3","32","'-1.15","0","'-0.98","EnvEvenSp20","0","EnvEvenSp20","0"
"3","25","'-1.36","0","'-1.13","EnvEvenSp20","0","EnvEvenSp20","0"
"3","58","'-0.66","0","'-0.27","EnvEvenSp20","0","EnvEvenSp20","0"
"3","71","'-0.11","'-0.11","0.01","EnvEvenSp20","0","EnvEvenSp20","0"
"3","86","0.77","0.77","0.27","EnvEvenSp20","0","EnvEvenSp20","0"
"3","80","0.4","0.4","0.09","EnvEvenSp20","0","EnvEvenSp20","0"
"3","84","0.62","0.62","0.11","EnvEvenSp20","0","EnvEvenSp20","0"
"3","83","0.87","0.87","0.46","EnvEvenSp20","0","EnvEvenSp20","0"
"3","80","0.2","0.2","0.55","EnvEvenSp20","0","EnvEvenSp20","0"
"3","18","0.33","0.33","'-2.31","EnvEvenSp20","0","EnvEvenSp20","0"
"3","15","1.01","1.01","'-2.05","EnvEvenSp20","0","EnvEvenSp20","0"
"3","16","0.27","0.27","'-1.83","EnvEvenSp20","0","EnvEvenSp20","0"
"3","18","'-1.59","0","'-1.36","EnvEvenSp20","0","EnvEvenSp20","0"
"3","77","0.27","0.27","0.03","EnvEvenSp20","0","EnvEvenSp20","0"
"3","16","'-0.6","0","'-1.42","EnvEvenSp20","0","EnvEvenSp20","0"
"3","13","1","1","'-1.96","EnvEvenSp20","0","EnvEvenSp20","0"
"3","25","'-2.08","0","'-1.16","EnvEvenSp20","0","EnvEvenSp20","0"
"3","16","'-0.56","0","'-1.79","EnvEvenSp20","0","EnvEvenSp20","0"
"3","84","0.62","0.62","0.36","EnvEvenSp20","0","EnvEvenSp20","0"
"3","81","'-0.12","'-0.12","0.5","EnvEvenSp20","0","EnvEvenSp20","0"
"3","73","0","0","0.78","EnvEvenSp20","0","EnvEvenSp20","0"
"3","16","0.5","0.5","'-2.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","15","'-0.07","0","'-1.73","EnvEvenSp20","0","EnvEvenSp20","0"
"3","84","0.57","0.57","0.35","EnvEvenSp20","0","EnvEvenSp20","0"
"3","82","0.82","0.82","0.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","85","0.6","0.6","0.01","EnvEvenSp20","0","EnvEvenSp20","0"
"3","78","0.13","0.13","'-0.02","EnvEvenSp20","0","EnvEvenSp20","0"
"3","72","0.13","0.13","0","EnvEvenSp20","0","EnvEvenSp20","0"
"3","65","0","0","'-0.18","EnvEvenSp20","0","EnvEvenSp20","0"
"3","61","'-0.22","0","'-0.19","EnvEvenSp20","0","EnvEvenSp20","0"
"3","48","'-0.94","0","'-0.49","EnvEvenSp20","0","EnvEvenSp20","0"
"3","40","'-1.61","0","'-0.77","EnvEvenSp20","0","EnvEvenSp20","0"
"3","38","'-1.34","0","'-0.73","EnvEvenSp20","0","EnvEvenSp20","0"
"3","31","'-1.98","0","'-0.93","EnvEvenSp20","0","EnvEvenSp20","0"
"3","21","'-1.57","0","'-1.26","EnvEvenSp20","0","EnvEvenSp20","0"
"3","19","'-1.64","0","'-1.66","EnvEvenSp20","0","EnvEvenSp20","0"
"3","78","0.83","0.83","0.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","30","'-1.87","0","'-1.11","EnvEvenSp20","0","EnvEvenSp20","0"
"3","31","'-0.61","0","'-0.5","EnvEvenSp20","0","EnvEvenSp20","0"
"3","34","'-1.26","0","'-0.44","EnvEvenSp20","0","EnvEvenSp20","0"
"3","40","'-1.35","0","'-0.22","EnvEvenSp20","0","EnvEvenSp20","0"
"3","46","'-0.26","0","'-0.15","EnvEvenSp20","0","EnvEvenSp20","0"
"3","52","'-0.46","0","'-0.02","EnvEvenSp20","0","EnvEvenSp20","0"
"3","58","'-0.4","0","0.02","EnvEvenSp20","0","EnvEvenSp20","0"
